held_out_policy,n_train_batteries,n_train_policies,selected_equation_milli_fade,observed_mean_fade,predicted_mean_fade,mae_fade,rmse_fade
3_7C_31PER_5_9C,32,5,((E_H * 1.3319411728787505) + E_L) + -429.4035074641079,0.03375122298127945,0.03315008013543093,0.005638911040950552,0.005670863289559086
4_8C_80PER_4_8C,29,5,(E_L + (E_H * 1.3479274450107046)) - 431.43608496168525,0.00188771454750894,0.0026654671198562026,0.0010886389328371815,0.001229159757122012
5C_67PER_4C,28,5,(E_L + (E_H * 1.3422561136600408)) + -430.68469003074637,0.002685518676387917,0.0032043975406792244,0.0007262856750535328,0.0008737791000838884
5_3C_54PER_4C,27,5,(E_L + (E_H * 1.3495569361181696)) + -431.8692389334073,0.002563196915216257,0.0020952894685875093,0.0013890879220374987,0.0016355800620876635
5_6C_19PER_4_6C,27,5,((E_H * 1.3394068325367514) + E_L) + -430.63129315182107,0.004391976356191671,0.0032068497382506393,0.0013360852119732433,0.0014914820732483632
5_6C_36PER_4_3C,27,5,(E_L + (E_H * 1.334960702324583)) + -429.64728686901526,0.003716349722194514,0.004362643730856007,0.0014971426107052012,0.0017930136741273672
