complexity,loss,equation,score,sympy_format,lambda_format
1,55.970048511693655,4.933964459510286,0.0,4.933964459510286,PySRFunction(X=>4.933964459510286)
3,50.68895485313208,E_H * 0.03971900314474285,0.04955433288957981,E_H*0.03971900314474285,PySRFunction(X=>E_H*0.03971900314474285)
5,19.426764502408176,(E_H * 0.5052793173763921) + -64.0426068223234,0.47952815253259223,E_H*0.5052793173763921 - 64.0426068223234,PySRFunction(X=>E_H*0.5052793173763921 - 64.0426068223234)
7,3.672652578534873,(E_L + (E_H * 1.3419437769134037)) + -430.7336192485949,0.832868777184415,E_H*1.3419437769134037 + E_L - 430.7336192485949,PySRFunction(X=>E_H*1.3419437769134037 + E_L - 430.7336192485949)
9,3.668236872395744,((E_H * 1.356187548075282) + (E_L * 1.0170244725940216)) + -436.97634034052936,0.0006015220228041902,E_H*1.356187548075282 + E_L*1.0170244725940216 - 436.97634034052936,PySRFunction(X=>E_H*1.356187548075282 + E_L*1.0170244725940216 - 436.97634034052936)
11,3.6108581491515577,E_H * ((((E_H * 3.6656089292442014e-5) + 0.0021578190556117813) * E_L) + -1.770502519609156),0.007882835923539706,E_H*(E_L*(E_H*3.6656089292442014e-5 + 0.0021578190556117813) - 1.770502519609156),PySRFunction(X=>E_H*(E_L*(E_H*3.6656089292442014e-5 + 0.0021578190556117813) - 1.770502519609156))
