feature_set,n_batteries,n_independent_policies,target,selected_equation_milli_fade,selected_equation_fade,train_rmse_fade,train_mae_fade
raw_parameters,34,6,1000 * Fade_200,(((C1 * 14.957093611355951) + -154.40008655501842) * C1) + 399.9178811339781,((((C1 * 14.957093611355951) + -154.40008655501842) * C1) + 399.9178811339781) / 1000,0.0020077545580162483,0.0014647067203247463
two_window_exposure,34,6,1000 * Fade_200,(E_L + (E_H * 1.3419437769134037)) + -430.7336192485949,((E_L + (E_H * 1.3419437769134037)) + -430.7336192485949) / 1000,0.0019164165983770005,0.0014207406180005236
