complexity,loss,equation,score,sympy_format,lambda_format
1,51.02638867937052,C2,0.0,C2,PySRFunction(X=>C2)
3,49.86491344996918,C2 * 1.2427097101636573,0.011512652913233702,C2*1.2427097101636573,PySRFunction(X=>C2*1.2427097101636573)
5,21.951733151176924,(C2 * C2) - 14.782800243698611,0.4102357613549673,C2*C2 - 1*14.782800243698611,PySRFunction(X=>C2*C2 - 1*14.782800243698611)
7,15.162306231642797,((C2 * 1.4099069012126781) - C1) * C2,0.18501680035669255,C2*(-C1 + C2*1.4099069012126781),PySRFunction(X=>C2*(-C1 + C2*1.4099069012126781))
9,4.031078365235019,(((C1 * 14.957093611355951) + -154.40008655501842) * C1) + 399.9178811339781,0.6623892850761033,C1*(C1*14.957093611355951 - 154.40008655501842) + 399.9178811339781,PySRFunction(X=>C1*(C1*14.957093611355951 - 154.40008655501842) + 399.9178811339781)
11,3.7565795230359433,((((C1 * 15.764737254698332) + -162.77197664446416) * C1) - C2) + 425.8411795131068,0.03526254126880626,C1*(C1*15.764737254698332 - 162.77197664446416) - C2 + 425.8411795131068,PySRFunction(X=>C1*(C1*15.764737254698332 - 162.77197664446416) - C2 + 425.8411795131068)
