cutoff,model,policy,n_batteries,RMSE,MAE,mean_exact_peer_count
150,Exact-policy mean delta,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002908413192207702,0.0002291313679649292,6.0
150,Exact-policy mean delta,80PER_3_6C,2,0.004174319081089241,0.003493081859983034,1.0
150,Trajectory similarity,3_6C-80PER_3_6C,2,0.003029525519911907,0.0019782460612880882,1.0
150,Trajectory similarity,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0022204820584678523,0.0020030395903307217,1.0
150,Trajectory similarity,4_8C_80PER_4_8C,2,0.0018982657587905153,0.0016512925201210126,1.0
150,Trajectory similarity,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.000396276693311205,0.0002631148014972635,4.0
150,Trajectory similarity,5C_67PER_4C_NEWSTRUCTURE,6,0.00023308357987315842,0.0001827477459572498,5.0
150,Trajectory similarity,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0001781350613286135,0.0001475000396755347,6.0
150,Trajectory similarity,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00019466760840080024,0.00015742823183360828,6.0
150,Trajectory similarity,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00018696305089764114,0.0001466239645717371,6.0
150,Trajectory similarity,80PER_3_6C,2,0.004174319081089241,0.003493081859983034,1.0
150,Slope-adapted cohort,3_6C-80PER_3_6C,2,0.0019717313389596455,0.0011876218842951313,1.0
150,Slope-adapted cohort,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0002897796210398874,0.00021798372207113004,1.0
150,Slope-adapted cohort,4_8C_80PER_4_8C,2,0.0008624650585249673,0.0006678088936292004,1.0
150,Slope-adapted cohort,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0003690028607843226,0.00023464721684086153,4.0
150,Slope-adapted cohort,5C_67PER_4C_NEWSTRUCTURE,6,0.00030125787477448265,0.00024641961678498154,5.0
150,Slope-adapted cohort,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00016496524624318181,0.00012978078133817002,6.0
150,Slope-adapted cohort,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00021663385465493229,0.00016568467019150538,6.0
150,Slope-adapted cohort,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00014880875137996327,0.00011696685802420685,6.0
150,Slope-adapted cohort,80PER_3_6C,2,0.0019829853402487203,0.0012999288576204826,1.0
150,Multivariate similarity,3_6C-80PER_3_6C,2,0.003029525519911907,0.0019782460612880882,1.0
150,Multivariate similarity,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0022204820584678523,0.0020030395903307217,1.0
150,Multivariate similarity,4_8C_80PER_4_8C,2,0.0018982657587905153,0.0016512925201210126,1.0
150,Multivariate similarity,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0003973482514675384,0.00027041581653480096,4.0
150,Multivariate similarity,5C_67PER_4C_NEWSTRUCTURE,6,0.00025353437062865974,0.00019828334919845813,5.0
150,Multivariate similarity,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00021937644780408775,0.00017859704663889054,6.0
150,Multivariate similarity,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00016060642935192198,0.00012595439934944894,6.0
150,Multivariate similarity,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00025183997074767247,0.00019050371828978793,6.0
150,Multivariate similarity,80PER_3_6C,2,0.004174319081089241,0.003493081859983034,1.0
150,Soft-policy neighbors,3_6C-80PER_3_6C,2,0.002110031162640982,0.0012598572574649802,1.0
150,Soft-policy neighbors,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.002220481991844876,0.0020030395308783776,1.0
150,Soft-policy neighbors,4_8C_80PER_4_8C,2,0.002541971220722127,0.002086237319253592,1.0
150,Soft-policy neighbors,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0003046883497840757,0.00018952158236213234,4.0
150,Soft-policy neighbors,5C_67PER_4C_NEWSTRUCTURE,6,0.0002148636091422228,0.00016547040248594583,5.0
150,Soft-policy neighbors,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00024313120414087147,0.00019424904109813473,6.0
150,Soft-policy neighbors,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0002451733728238108,0.00020152058718886685,6.0
150,Soft-policy neighbors,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002053859367902745,0.00016831202207933835,6.0
150,Soft-policy neighbors,80PER_3_6C,2,0.0030966146363839,0.0020285413588330948,1.0
