cutoff,model,policy,n_batteries,RMSE,MAE,mean_exact_peer_count
50,Soft-policy neighbors,4_8C_80PER_4_8C,2,0.0007936470766713963,0.0005757112971814982,1.0
50,Soft-policy neighbors,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0007567523239223201,0.00028824755110885646,4.0
50,Soft-policy neighbors,5C_67PER_4C_NEWSTRUCTURE,6,0.0002358348557957496,0.00018587424609510275,5.0
50,Soft-policy neighbors,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00019038858094282162,0.00013537126928299146,6.0
50,Soft-policy neighbors,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0002139138660326119,0.0001528980316819958,6.0
50,Soft-policy neighbors,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0001945448468615639,0.00015457791283635464,6.0
50,Soft-policy neighbors,80PER_3_6C,2,0.0031678025362061797,0.002131981834683907,1.0
75,Public Linear-Nested,3_6C-80PER_3_6C,2,0.0005299585722024087,0.0004394461500620717,1.0
75,Public Linear-Nested,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0007035238084703834,0.0004916608402622702,1.0
75,Public Linear-Nested,4_8C_80PER_4_8C,2,0.0009574574271703693,0.0007817433769860727,1.0
75,Public Linear-Nested,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0007336353382929624,0.00045931664419839626,4.0
75,Public Linear-Nested,5C_67PER_4C_NEWSTRUCTURE,6,0.0003210316178541329,0.0002304242386342666,5.0
75,Public Linear-Nested,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00032326879507431464,0.0002214472177808172,6.0
75,Public Linear-Nested,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0003347037090215963,0.00026739721291316583,6.0
75,Public Linear-Nested,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00028705345360937034,0.00023106285238291661,6.0
75,Public Linear-Nested,80PER_3_6C,2,0.002840405733768459,0.0018614953484710163,1.0
75,Exact-policy mean delta,3_6C-80PER_3_6C,2,0.00034609124309106613,0.00027060373870180454,1.0
75,Exact-policy mean delta,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0020794603320417097,0.0017910579746136057,1.0
75,Exact-policy mean delta,4_8C_80PER_4_8C,2,0.0013258008278456258,0.0010938049774063075,1.0
75,Exact-policy mean delta,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00032381580536662054,0.00022674291710444327,4.0
75,Exact-policy mean delta,5C_67PER_4C_NEWSTRUCTURE,6,0.0002577738253972308,0.00022497351714101572,5.0
75,Exact-policy mean delta,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0003046461533763947,0.00022739576710008416,6.0
75,Exact-policy mean delta,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00028600778752343694,0.00023594676177795808,6.0
75,Exact-policy mean delta,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0003064084902483808,0.00025622332729617923,6.0
75,Exact-policy mean delta,80PER_3_6C,2,0.004369791313954222,0.003665386598230522,1.0
75,Trajectory similarity,3_6C-80PER_3_6C,2,0.00034609124309106613,0.00027060373870180454,1.0
75,Trajectory similarity,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0020794603320417097,0.0017910579746136057,1.0
75,Trajectory similarity,4_8C_80PER_4_8C,2,0.0013258008278456258,0.0010938049774063075,1.0
75,Trajectory similarity,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00032607795700542367,0.00020746690571870507,4.0
75,Trajectory similarity,5C_67PER_4C_NEWSTRUCTURE,6,0.0002565829182826089,0.0001990563061400637,5.0
75,Trajectory similarity,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00020407954745239147,0.00015086679709193877,6.0
75,Trajectory similarity,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0002491070079450091,0.0002072732442716041,6.0
75,Trajectory similarity,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00028720510771362465,0.0002394693769875067,6.0
75,Trajectory similarity,80PER_3_6C,2,0.004369791313954222,0.003665386598230522,1.0
75,Slope-adapted cohort,3_6C-80PER_3_6C,2,0.0006418106579133904,0.0005577921008520215,1.0
75,Slope-adapted cohort,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0009874061693672005,0.000833422800286906,1.0
75,Slope-adapted cohort,4_8C_80PER_4_8C,2,0.00039563126721377755,0.0003302945437942206,1.0
75,Slope-adapted cohort,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0003531491030581444,0.0002184523518130459,4.0
75,Slope-adapted cohort,5C_67PER_4C_NEWSTRUCTURE,6,0.00027024178632021077,0.00021364605241844766,5.0
75,Slope-adapted cohort,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00024365032464872068,0.00016688795817100446,6.0
75,Slope-adapted cohort,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00036075211523692037,0.00027909419127414135,6.0
75,Slope-adapted cohort,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0003279130082352465,0.0002724151278840543,6.0
75,Slope-adapted cohort,80PER_3_6C,2,0.0029891813277955624,0.0020652391677866222,1.0
75,Multivariate similarity,3_6C-80PER_3_6C,2,0.00034609124309106613,0.00027060373870180454,1.0
75,Multivariate similarity,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0020794603320417097,0.0017910579746136057,1.0
75,Multivariate similarity,4_8C_80PER_4_8C,2,0.0013258008278456258,0.0010938049774063075,1.0
75,Multivariate similarity,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00032607928690198666,0.00021116811663859548,4.0
75,Multivariate similarity,5C_67PER_4C_NEWSTRUCTURE,6,0.00018597555124825262,0.0001383445344128283,5.0
75,Multivariate similarity,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00023192247586354065,0.0001744693591874296,6.0
75,Multivariate similarity,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00024179194794682015,0.00018904697358750747,6.0
75,Multivariate similarity,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00029807011936599235,0.00025339091775179013,6.0
75,Multivariate similarity,80PER_3_6C,2,0.004369791313954222,0.003665386598230522,1.0
75,Soft-policy neighbors,3_6C-80PER_3_6C,2,0.00026981992046243926,0.00019619594030110933,1.0
75,Soft-policy neighbors,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0030077509106272867,0.0023003777022673555,1.0
75,Soft-policy neighbors,4_8C_80PER_4_8C,2,0.001449995944458166,0.0011500194976230061,1.0
75,Soft-policy neighbors,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0003936960749877066,0.0003163139081189654,4.0
75,Soft-policy neighbors,5C_67PER_4C_NEWSTRUCTURE,6,0.0001962207824737792,0.00014830043115451183,5.0
75,Soft-policy neighbors,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00020474348845072438,0.00015458775519692816,6.0
75,Soft-policy neighbors,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00027984965760849385,0.00022648618951996198,6.0
75,Soft-policy neighbors,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00027699004230402033,0.00022544634852725653,6.0
75,Soft-policy neighbors,80PER_3_6C,2,0.002988797597562791,0.0019660089149047487,1.0
100,Public Linear-Nested,3_6C-80PER_3_6C,2,0.0007482006303346975,0.0003568568769658342,1.0
100,Public Linear-Nested,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0002494548473433639,0.00019357569145372788,1.0
100,Public Linear-Nested,4_8C_80PER_4_8C,2,0.0009487203674434164,0.0007478848915671743,1.0
100,Public Linear-Nested,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00037918507243381533,0.0002730173878544746,4.0
100,Public Linear-Nested,5C_67PER_4C_NEWSTRUCTURE,6,0.00023946006478731328,0.00018206431128806082,5.0
100,Public Linear-Nested,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00037024271394587373,0.00025111159861457,6.0
100,Public Linear-Nested,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00023376264987101428,0.00016965158146995586,6.0
100,Public Linear-Nested,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002938370060845451,0.00022292680320266958,6.0
100,Public Linear-Nested,80PER_3_6C,2,0.0015230748245277706,0.0010071182177839421,1.0
100,Exact-policy mean delta,3_6C-80PER_3_6C,2,0.0009320484574059669,0.0005498026928535748,1.0
100,Exact-policy mean delta,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.002280278358240589,0.0019839200815337053,1.0
100,Exact-policy mean delta,4_8C_80PER_4_8C,2,0.0018302383903443403,0.0015776231817698227,1.0
100,Exact-policy mean delta,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0008484596180214555,0.0007576865634719194,4.0
100,Exact-policy mean delta,5C_67PER_4C_NEWSTRUCTURE,6,0.00021004472085317955,0.0001585033476110198,5.0
100,Exact-policy mean delta,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0002809201708074616,0.00020921330055039203,6.0
100,Exact-policy mean delta,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0002444337292991234,0.00018593694986151124,6.0
100,Exact-policy mean delta,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00031964338181059577,0.00024213916175507152,6.0
100,Exact-policy mean delta,80PER_3_6C,2,0.004435737571674198,0.003654633418189892,1.0
100,Trajectory similarity,3_6C-80PER_3_6C,2,0.0009320484574059669,0.0005498026928535748,1.0
100,Trajectory similarity,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.002280278358240589,0.0019839200815337053,1.0
100,Trajectory similarity,4_8C_80PER_4_8C,2,0.0018302383903443403,0.0015776231817698227,1.0
100,Trajectory similarity,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0010468564160434379,0.0009789553522860013,4.0
100,Trajectory similarity,5C_67PER_4C_NEWSTRUCTURE,6,0.0002017802955400362,0.00015205302454562568,5.0
100,Trajectory similarity,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00028292263855448225,0.0002119995852654975,6.0
100,Trajectory similarity,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00022603537083970682,0.0001719614408334258,6.0
100,Trajectory similarity,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.000275355607361673,0.00020225248341677128,6.0
100,Trajectory similarity,80PER_3_6C,2,0.004435737571674198,0.003654633418189892,1.0
100,Slope-adapted cohort,3_6C-80PER_3_6C,2,0.0008037807979393096,0.0004505163307218896,1.0
100,Slope-adapted cohort,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.000653889258530303,0.00048724100410875936,1.0
100,Slope-adapted cohort,4_8C_80PER_4_8C,2,0.0003529694941790955,0.00025675386921135244,1.0
100,Slope-adapted cohort,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0009121039318728771,0.0008243225375707821,4.0
100,Slope-adapted cohort,5C_67PER_4C_NEWSTRUCTURE,6,0.00020347990211122858,0.00014363908264225695,5.0
100,Slope-adapted cohort,5_3C_54PER_4C_NEWSTRUCTURE,7,0.000344166624318801,0.00025896472691357245,6.0
100,Slope-adapted cohort,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00019105759154528567,0.00014628956797004282,6.0
100,Slope-adapted cohort,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00022231049482483,0.00016525837259770271,6.0
100,Slope-adapted cohort,80PER_3_6C,2,0.002293982045640071,0.0014747369532907562,1.0
100,Multivariate similarity,3_6C-80PER_3_6C,2,0.0009320484574059669,0.0005498026928535748,1.0
100,Multivariate similarity,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.002280278358240589,0.0019839200815337053,1.0
100,Multivariate similarity,4_8C_80PER_4_8C,2,0.0018302383903443403,0.0015776231817698227,1.0
100,Multivariate similarity,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0009407316262979758,0.0008765428619285647,4.0
100,Multivariate similarity,5C_67PER_4C_NEWSTRUCTURE,6,0.0002051873442397956,0.00015371159076608168,5.0
100,Multivariate similarity,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00026424410000404423,0.00019930320858247024,6.0
100,Multivariate similarity,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00022052491630807043,0.00016579595809344998,6.0
100,Multivariate similarity,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00030137596139545624,0.0002230308201726916,6.0
100,Multivariate similarity,80PER_3_6C,2,0.004435737571674198,0.003654633418189892,1.0
100,Soft-policy neighbors,3_6C-80PER_3_6C,2,0.0006735239752343895,0.0004350796166878923,1.0
100,Soft-policy neighbors,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0031497581937305124,0.002490326307948535,1.0
100,Soft-policy neighbors,4_8C_80PER_4_8C,2,0.001983817775364312,0.0015503549200562227,1.0
100,Soft-policy neighbors,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0008955040280319588,0.000661127180163307,4.0
100,Soft-policy neighbors,5C_67PER_4C_NEWSTRUCTURE,6,0.0001683501049739967,0.00011953757053975759,5.0
100,Soft-policy neighbors,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0002352293604251433,0.0001636878786813283,6.0
100,Soft-policy neighbors,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00021706230207910085,0.00017385652840595567,6.0
100,Soft-policy neighbors,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00021132725685500998,0.00015676957751955832,6.0
100,Soft-policy neighbors,80PER_3_6C,2,0.003466915471298837,0.002484823237643494,1.0
125,Public Linear-Nested,3_6C-80PER_3_6C,2,0.001584971939220427,0.0007099925892097514,1.0
125,Public Linear-Nested,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0002906358356258751,0.00022926416903842783,1.0
125,Public Linear-Nested,4_8C_80PER_4_8C,2,0.0013804899821586952,0.0011843593872353341,1.0
125,Public Linear-Nested,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0004305627254179015,0.0003281351793926999,4.0
125,Public Linear-Nested,5C_67PER_4C_NEWSTRUCTURE,6,0.00027457003941333183,0.00021510374914056495,5.0
125,Public Linear-Nested,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00036281298733849455,0.00028647674805102203,6.0
125,Public Linear-Nested,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0003461145579527391,0.0002886142165209796,6.0
125,Public Linear-Nested,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00041591790382132954,0.0003342343067546489,6.0
125,Public Linear-Nested,80PER_3_6C,2,0.0011375617982506993,0.0007858717201074017,1.0
125,Exact-policy mean delta,3_6C-80PER_3_6C,2,0.0021459282287372675,0.001195374463845602,1.0
125,Exact-policy mean delta,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.002278185566028991,0.0019753848823255505,1.0
125,Exact-policy mean delta,4_8C_80PER_4_8C,2,0.0014173522978323874,0.001209073506419478,1.0
125,Exact-policy mean delta,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00037144786936698466,0.0002721945210597889,4.0
125,Exact-policy mean delta,5C_67PER_4C_NEWSTRUCTURE,6,0.00023485283771396663,0.00017908912527020093,5.0
125,Exact-policy mean delta,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00029870191761933014,0.0002207460784573802,6.0
125,Exact-policy mean delta,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.000288009796006931,0.00022833663574304942,6.0
125,Exact-policy mean delta,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002899615779475597,0.00021766278174327428,6.0
125,Exact-policy mean delta,80PER_3_6C,2,0.004097180507763583,0.0034798019917216694,1.0
125,Trajectory similarity,3_6C-80PER_3_6C,2,0.0021459282287372675,0.001195374463845602,1.0
125,Trajectory similarity,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.002278185566028991,0.0019753848823255505,1.0
125,Trajectory similarity,4_8C_80PER_4_8C,2,0.0014173522978323874,0.001209073506419478,1.0
125,Trajectory similarity,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0003178799778129929,0.00020481203251659385,4.0
125,Trajectory similarity,5C_67PER_4C_NEWSTRUCTURE,6,0.0001911859673669251,0.0001454711869444388,5.0
125,Trajectory similarity,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00022530073784511536,0.0001662267431473149,6.0
125,Trajectory similarity,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00020323982782968723,0.00015188410270152686,6.0
125,Trajectory similarity,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00022480014637826475,0.0001701183890460659,6.0
125,Trajectory similarity,80PER_3_6C,2,0.004097180507763583,0.0034798019917216694,1.0
125,Slope-adapted cohort,3_6C-80PER_3_6C,2,0.0019887882919645424,0.0010943942974857247,1.0
125,Slope-adapted cohort,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0002545673854278484,0.0001931346841797754,1.0
125,Slope-adapted cohort,4_8C_80PER_4_8C,2,0.0010345016774218332,0.000888288418188311,1.0
125,Slope-adapted cohort,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0004083862957632725,0.0002896042570342381,4.0
125,Slope-adapted cohort,5C_67PER_4C_NEWSTRUCTURE,6,0.0002512659272199888,0.00018612436199179848,5.0
125,Slope-adapted cohort,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00028504528128438483,0.00021832020772226014,6.0
125,Slope-adapted cohort,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0002821670172406938,0.0002217193383976771,6.0
125,Slope-adapted cohort,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0003360022139192021,0.00027501705943817846,6.0
125,Slope-adapted cohort,80PER_3_6C,2,0.0024298394665467128,0.0016745245398695075,1.0
125,Multivariate similarity,3_6C-80PER_3_6C,2,0.0021459282287372675,0.001195374463845602,1.0
125,Multivariate similarity,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.002278185566028991,0.0019753848823255505,1.0
125,Multivariate similarity,4_8C_80PER_4_8C,2,0.0014173522978323874,0.001209073506419478,1.0
125,Multivariate similarity,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0003711726364312627,0.00025731589972931746,4.0
125,Multivariate similarity,5C_67PER_4C_NEWSTRUCTURE,6,0.00022887194483702382,0.0001752115749410347,5.0
125,Multivariate similarity,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00027323332189587584,0.0002085521430052549,6.0
125,Multivariate similarity,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00021155488702713477,0.00014834396440402075,6.0
125,Multivariate similarity,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002877574739730757,0.00020219219936482726,6.0
125,Multivariate similarity,80PER_3_6C,2,0.004097180507763583,0.0034798019917216694,1.0
125,Soft-policy neighbors,3_6C-80PER_3_6C,2,0.0014680437539555888,0.0008290757020307837,1.0
125,Soft-policy neighbors,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0032268836031936715,0.0027120259510428637,1.0
125,Soft-policy neighbors,4_8C_80PER_4_8C,2,0.0021211234569991962,0.0017341040170176514,1.0
125,Soft-policy neighbors,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0003378859699286907,0.000251591915496356,4.0
125,Soft-policy neighbors,5C_67PER_4C_NEWSTRUCTURE,6,0.00019130185704726202,0.0001349787416739745,5.0
125,Soft-policy neighbors,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00023701336317074405,0.00017183641609351088,6.0
125,Soft-policy neighbors,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00024630517459851034,0.00020190085490634122,6.0
125,Soft-policy neighbors,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002279699231284718,0.0001717678417996095,6.0
125,Soft-policy neighbors,80PER_3_6C,2,0.0030021034469069805,0.00207640571959135,1.0
150,Public Linear-Nested,3_6C-80PER_3_6C,2,0.0016528764063339823,0.0008661738962358523,1.0
150,Public Linear-Nested,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0002503448593423386,0.0001914894588499505,1.0
150,Public Linear-Nested,4_8C_80PER_4_8C,2,0.0013127211591707076,0.0011605767120043864,1.0
150,Public Linear-Nested,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00036802258731363796,0.00022100274477558068,4.0
150,Public Linear-Nested,5C_67PER_4C_NEWSTRUCTURE,6,0.00029280310052116513,0.0002359673207798574,5.0
150,Public Linear-Nested,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00018970144004237466,0.00014171155416301792,6.0
150,Public Linear-Nested,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00032597722546627415,0.0002666024449073937,6.0
150,Public Linear-Nested,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00024564768382223976,0.00019922906999125483,6.0
150,Public Linear-Nested,80PER_3_6C,2,0.0013279734061682016,0.001117485676394897,1.0
150,Exact-policy mean delta,3_6C-80PER_3_6C,2,0.003029525519911907,0.0019782460612880882,1.0
150,Exact-policy mean delta,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0022204820584678523,0.0020030395903307217,1.0
150,Exact-policy mean delta,4_8C_80PER_4_8C,2,0.0018982657587905153,0.0016512925201210126,1.0
150,Exact-policy mean delta,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0003625134110949059,0.00025936478121590636,4.0
150,Exact-policy mean delta,5C_67PER_4C_NEWSTRUCTURE,6,0.0002370823273108172,0.00018711698242828922,5.0
150,Exact-policy mean delta,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0002287854032963322,0.0001805376948635806,6.0
150,Exact-policy mean delta,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00022682446612086465,0.0001832800666824151,6.0
