policy,n,C1,Q1,C2,charge_time_min,life_cycles,life_median,fade_rate_per_cycle,t_cc_ideal_min,soh_fade_200_equiv,pareto_existing,time_norm,fade_norm,equal_weight_score,recommended
5_3C_54PER_4C,7,5.3,54.0,4.0,10.157513242825358,1074.0,1036.0,0.0001888149659741176,10.013207547169811,0.03776299319482352,True,0.0028304771055034576,0.29688480417432844,0.14985764063991594,True
5C_67PER_4C,5,5.0,67.0,4.0,10.15462003342782,1134.8,826.0,0.00019825582997294407,9.99,0.039651165994588816,True,0.0,0.3493244418040489,0.17466222090202446,False
5_6C_36PER_4_3C,7,5.6,36.0,4.3,10.214658808573457,939.0,921.0,0.000216982137165824,9.996677740863786,0.043396427433164804,False,0.05873697860819149,0.4533404263007558,0.2560387024544737,False
5_6C_19PER_4_6C,6,5.599999999999999,19.0,4.6,10.258466112277,947.0,920.0,0.00021606772054237781,9.99223602484472,0.04321354410847556,False,0.10159442622060434,0.44826126443780856,0.27492784532920644,False
4_8C_80PER_4_8C,3,4.8,80.0,4.8,11.176783184619666,1569.6666666666667,1799.0,0.00013536591128538857,10.0,0.027073182257077714,True,1.0,0.0,0.5,False
3_7C_31PER_5_9C,2,3.7,31.0,5.9,10.851867338010951,654.5,654.5,0.0003153988868274583,10.010077874484654,0.06307977736549165,False,0.6821291725984628,1.0,0.8410645862992314,False
