,C1,Q1,C2,E_low,E_high
C1,1.0,-0.3142857142857143,-0.5217939320872036,0.7142857142857143,-0.7142857142857143
Q1,-0.3142857142857143,1.0,-0.28988551782622424,0.14285714285714285,-0.14285714285714285
C2,-0.5217939320872036,-0.28988551782622424,1.0,-0.898645105261295,0.898645105261295
E_low,0.7142857142857143,0.14285714285714285,-0.898645105261295,1.0,-1.0
E_high,-0.7142857142857143,-0.14285714285714285,0.898645105261295,-1.0,1.0
