held_out_policy,observed_mean_eol,predicted_eol,absolute_percentage_error
4_8C_80PER_4_8C,1569.6666666666667,992.5845475899537,36.76462852474282
5C_67PER_4C,1134.8,1109.8389333652633,2.199600514164316
5_3C_54PER_4C,1074.0,884.199681463721,17.672282917716846
5_6C_19PER_4_6C,947.0,1184.9656705963775,25.12837070711484
5_6C_36PER_4_3C,939.0,979.6155829585434,4.325408195798023
3_7C_31PER_5_9C,654.5,27.75081468592114,95.75999775616178
