use_policy,architecture,hidden_layers,parameters,n_input,seed,fold,battery_id,rmse,mae
False,hidden_8,8,546,11,20260815,4,48,0.00012192147572434226,9.885430335998535e-05
False,hidden_8,8,546,11,20260815,5,18,8.317974999730108e-05,6.79337972542271e-05
False,hidden_8,8,546,11,20260815,5,21,5.478356942698422e-05,4.585266287904233e-05
False,hidden_8,8,546,11,20260815,5,28,0.00012692194360278743,0.00010126709821633995
False,hidden_8,8,546,11,20260815,5,31,0.0002025411084990281,0.0001572298933751881
False,hidden_8,8,546,11,20260815,5,32,7.80588678112201e-05,6.611466233152896e-05
False,hidden_8,8,546,11,20260815,5,36,0.0001405776652688891,0.00012483001046348363
False,hidden_8,8,546,11,20260815,5,39,5.3866133380272236e-05,3.7382840673672035e-05
False,hidden_8,8,546,11,20260815,5,46,0.000442904544801888,0.0003774583456106484
False,hidden_8,8,546,11,20260816,1,1,0.0024602165377108566,0.0017504655988886952
False,hidden_8,8,546,11,20260816,1,6,0.00033154054823996505,0.0002466702426318079
False,hidden_8,8,546,11,20260816,1,12,0.00039205292995139307,0.0002988922642543912
False,hidden_8,8,546,11,20260816,1,13,0.00018221833039933807,0.00015476465341635048
False,hidden_8,8,546,11,20260816,1,20,8.249497361318896e-05,7.014274888206273e-05
False,hidden_8,8,546,11,20260816,1,22,4.8497996467355875e-05,4.045724926982075e-05
False,hidden_8,8,546,11,20260816,1,47,0.00040300251469369333,0.0003420257708057761
False,hidden_8,8,546,11,20260816,1,49,0.00018723025779482705,0.00014965653826948255
False,hidden_8,8,546,11,20260816,2,3,0.0036838752654668803,0.003164148423820734
False,hidden_8,8,546,11,20260816,2,17,0.000151653234011606,0.0001346051722066477
False,hidden_8,8,546,11,20260816,2,30,0.00014941521464696512,0.00011557101970538497
False,hidden_8,8,546,11,20260816,2,38,0.0002465608793385969,0.0001763868349371478
False,hidden_8,8,546,11,20260816,2,40,8.59826157082145e-05,5.584835889749229e-05
False,hidden_8,8,546,11,20260816,2,41,0.000270667284274965,0.0001928174460772425
False,hidden_8,8,546,11,20260816,2,42,0.0001316791324420045,0.00010205626313108951
False,hidden_8,8,546,11,20260816,2,45,9.233999392242555e-05,7.345080666709691e-05
False,hidden_8,8,546,11,20260816,3,7,0.0005098349830424355,0.0004149997257627547
False,hidden_8,8,546,11,20260816,3,8,0.00805915672215054,0.0069317687302827835
False,hidden_8,8,546,11,20260816,3,23,0.00034628156474267427,0.0002714836737141013
False,hidden_8,8,546,11,20260816,3,26,0.0006883378292465573,0.0005913007189519703
False,hidden_8,8,546,11,20260816,3,33,0.0001246468230193896,9.08315196284093e-05
False,hidden_8,8,546,11,20260816,3,34,0.00011747632070923361,9.840368875302374e-05
False,hidden_8,8,546,11,20260816,3,35,0.0009851954208419584,0.0009096574503928423
False,hidden_8,8,546,11,20260816,3,37,0.0003029176658902702,0.0002632582327350974
False,hidden_8,8,546,11,20260816,4,4,0.00027244723064305206,0.0002232754195574671
False,hidden_8,8,546,11,20260816,4,15,0.0002859707992088154,0.0002138531272066757
False,hidden_8,8,546,11,20260816,4,19,6.112079240233344e-05,5.470633550430648e-05
False,hidden_8,8,546,11,20260816,4,27,0.00010505387968822093,9.527325892122462e-05
False,hidden_8,8,546,11,20260816,4,29,0.00011743425039613743,0.00010939836647594348
False,hidden_8,8,546,11,20260816,4,43,0.00029346433868009965,0.00025422096950933337
False,hidden_8,8,546,11,20260816,4,44,4.7118722866916504e-05,3.632068546721712e-05
False,hidden_8,8,546,11,20260816,4,48,4.857662446735015e-05,4.0009021176956594e-05
False,hidden_8,8,546,11,20260816,5,18,8.115721789747397e-05,6.583452341146767e-05
False,hidden_8,8,546,11,20260816,5,21,7.015504987335845e-05,5.52082055946812e-05
False,hidden_8,8,546,11,20260816,5,28,9.177512313006614e-05,7.33304041204974e-05
False,hidden_8,8,546,11,20260816,5,31,0.00011562716930789753,9.173989383270964e-05
False,hidden_8,8,546,11,20260816,5,32,8.04731991884245e-05,5.279183460515924e-05
False,hidden_8,8,546,11,20260816,5,36,0.00014484614240253528,0.00012582421186380088
False,hidden_8,8,546,11,20260816,5,39,4.780583511402315e-05,3.4725664590951055e-05
False,hidden_8,8,546,11,20260816,5,46,0.002227166760903611,0.0019392382819205523
False,hidden_8,8,546,11,20260817,1,1,0.0021555204198381948,0.0014916121726855636
False,hidden_8,8,546,11,20260817,1,6,0.000677380226179237,0.000567986979149282
False,hidden_8,8,546,11,20260817,1,12,0.000265912533755096,0.0002085566520690918
False,hidden_8,8,546,11,20260817,1,13,0.00014671226553342127,0.00012630224227905273
False,hidden_8,8,546,11,20260817,1,20,0.00013935829170105322,0.00013331651280168444
