held_out_policy,selected_complexity,selected_equation_milli_fade,observed_mean_fade,predicted_mean_fade,rmse_fade
3_7C_31PER_5_9C,11,((H_all * H_all) + 66.36917801002878) - (Pi_high * (tau_high * 212.39604933308647)),0.03375122298127945,0.009980913748360543,0.024268519719766755
4_8C_80PER_4_8C,9,(((tau_high * 8.60184115409272) + -120.20332332712321) * tau_high) + 422.4461150986173,0.00188771454750894,0.007184764385844063,0.00538188365115241
5C_67PER_4C,9,(((tau_high * 10.435670805572801) + -142.10675436987867) * tau_high) + 485.5925210771909,0.002685518676387917,0.0020740567169409588,0.0009317405045321824
5_3C_54PER_4C,9,(tau_high * ((tau_high * 13.459152163286698) + -177.66810789337777)) + 588.7583110905155,0.002563196915216257,0.008194012017232239,0.00584484931148608
5_6C_19PER_4_6C,9,(tau_high * ((tau_high * 11.22189026955469) - 151.75612747705352)) + 514.3780168025141,0.004391976356191671,0.0019657129634704233,0.002589738929917089
5_6C_36PER_4_3C,9,(H_all * ((H_all * 56.03119546048829) + -689.3788244690021)) - -2122.210241155776,0.003716349722194514,0.01336456000021378,0.02597876998480385
