complexity,loss,equation,score,sympy_format,lambda_format
1,55.97004851169365,4.933964461701816,0.0,4.933964461701816,PySRFunction(X=>4.933964461701816)
3,50.56437741225882,11.598431921224327 - tau_high,0.05078468749566187,11.598431921224327 - tau_high,PySRFunction(X=>11.598431921224327 - tau_high)
5,25.9510779803337,75.45519789829196 - (tau_high * 10.581675710642802),0.3335170876195333,75.45519789829196 - 10.581675710642802*tau_high,PySRFunction(X=>75.45519789829196 - 10.581675710642802*tau_high)
7,22.33641317050864,(tau_high * (tau_high + -23.185647618200022)) - -114.77073813807795,0.07499746252243997,tau_high*(tau_high - 23.185647618200022) - 1*(-114.77073813807795),PySRFunction(X=>tau_high*(tau_high - 23.185647618200022) - 1*(-114.77073813807795))
9,6.434021178831056,(((tau_high * 10.273239620401379) - 140.06529926964663) * tau_high) + 479.35316348877393,0.6223092519278037,tau_high*(tau_high*10.273239620401379 - 1*140.06529926964663) + 479.35316348877393,PySRFunction(X=>tau_high*(tau_high*10.273239620401379 - 1*140.06529926964663) + 479.35316348877393)
11,5.365875049574109,(tau_high * (-38.80496639773165 - ((7.483416521043438 - tau_high) * H_all))) + 294.53976760315066,0.0907701271824698,tau_high*(-H_all*(7.483416521043438 - tau_high) - 38.80496639773165) + 294.53976760315066,PySRFunction(X=>tau_high*(-H_all*(7.483416521043438 - tau_high) - 38.80496639773165) + 294.53976760315066)
