model,samples,rmse_cycles,mae_cycles,median_ape_pct
ridge_log_eol,34,407.005553268593,236.76677047245263,11.750016662918618
extra_trees_log_eol,34,369.44219934436586,248.6590121607302,15.642848817556242
random_forest_log_eol,34,386.1469605156027,270.3017502094754,18.054731064309948
