battery_id,policy,fit_start,model,EOL_cycle,conditional_lower_90,conditional_upper_90,bootstrap_valid,fit_RMSE,fit_success
2,3_6C-80PER_3_6C,1,exponential,16518.57482175344,10858.683892103198,25204.033811766694,60,0.0011135483277635002,True
2,3_6C-80PER_3_6C,20,exponential,11689.48713131619,11085.039520315642,12701.361553434035,60,0.0001421072283615222,True
2,3_6C-80PER_3_6C,50,exponential,10321.657126650274,9814.975300685319,10914.651445263293,60,0.00010918253028661184,True
2,3_6C-80PER_3_6C,80,exponential,10334.846351368968,9704.59744439433,11132.51376313131,60,8.392482546959278e-05,True
2,3_6C-80PER_3_6C,1,linear,14832.329148875004,10730.578222206563,23814.137694228593,60,0.001113504368522496,True
2,3_6C-80PER_3_6C,20,linear,10501.838103951639,9882.088256878882,11485.564772292037,60,0.0001419539417017292,True
2,3_6C-80PER_3_6C,50,linear,9277.21916611938,8815.462562350196,9724.133120289815,60,0.00010914141837617229,True
2,3_6C-80PER_3_6C,80,linear,9291.975431096143,8641.954753219583,9975.469191433234,60,8.388386590180448e-05,True
2,3_6C-80PER_3_6C,1,power,758.0055682657347,613.5193151196331,3147.5036773702236,60,0.0010147074947772091,True
2,3_6C-80PER_3_6C,20,power,2175.759324750604,1508.4088469853255,3157.7616675180684,60,0.0001038387757087196,True
2,3_6C-80PER_3_6C,50,power,3899.323568662775,2227.129735986847,10272.98193493069,60,0.0001060655081168793,True
2,3_6C-80PER_3_6C,80,power,1253.717046238789,855.5592078726671,3028.9741661064427,60,7.376713618875254e-05,True
5,80PER_3_6C,1,exponential,12302.380057874261,9796.57142387069,15336.36800423644,60,0.0010843227014387157,True
5,80PER_3_6C,20,exponential,8921.4722695592,7971.210108984467,9975.93078141749,60,0.0005187589397890142,True
5,80PER_3_6C,50,exponential,7560.970230348625,6834.751627554837,8727.132950777741,60,0.000521511094579026,True
5,80PER_3_6C,80,exponential,6773.149781629366,5795.142445944179,8153.936205175029,60,0.00048679222082693746,True
5,80PER_3_6C,1,linear,11038.205350017262,8632.51021390058,15414.809129624056,60,0.0010842079021401926,True
5,80PER_3_6C,20,linear,8009.259069485128,7053.712530241052,9180.207848492717,60,0.0005185933519890173,True
5,80PER_3_6C,50,linear,6792.828338456305,5909.530283674124,7872.804115632542,60,0.0005214193700209094,True
5,80PER_3_6C,80,linear,6088.789635166098,5351.017266516853,7330.649420968117,60,0.0004867263079873376,True
5,80PER_3_6C,1,power,604.6126049898922,571.2178712230725,1278.401404099851,60,0.0009389109487380317,True
5,80PER_3_6C,20,power,992.777998868528,699.8772459763071,1663.3861031300548,60,0.00047348472159605454,True
5,80PER_3_6C,50,power,865.836354056604,600.9571859042851,2111.6692975068077,60,0.0005005177673763734,True
5,80PER_3_6C,80,power,621.8400048357121,601.9047277592662,2076.6000891196345,60,0.0004640457776469598,True
9,4_8C_80PER_4_8C,1,exponential,3041.6802977893717,2674.1425841015193,3326.4401932858314,60,0.0016007879044754821,True
9,4_8C_80PER_4_8C,20,exponential,2600.0205911187704,2397.620248168589,2834.533623462606,60,0.0007290905036806795,True
9,4_8C_80PER_4_8C,50,exponential,2213.1716619019685,2091.153365308293,2321.0075726798887,60,0.00040496925975970716,True
9,4_8C_80PER_4_8C,80,exponential,1969.1368950073002,1914.0643775928575,2048.2769083888943,60,0.000274636042021451,True
9,4_8C_80PER_4_8C,1,linear,2735.703242720991,2501.1329372575988,3097.341061795492,60,0.0015975217289652883,True
9,4_8C_80PER_4_8C,20,linear,2342.2001730125744,2193.151829363658,2516.8745853444584,60,0.0007245797116494446,True
9,4_8C_80PER_4_8C,50,linear,1998.1618475025123,1891.667807749248,2083.466761060293,60,0.00040156494761553387,True
9,4_8C_80PER_4_8C,80,linear,1781.9631772762386,1718.3712212521086,1854.8112144979275,60,0.0002732047818163496,True
9,4_8C_80PER_4_8C,1,power,508.8405338836597,454.91032342184866,558.6038682167522,60,0.0009209378388365149,True
9,4_8C_80PER_4_8C,20,power,614.4095508888329,580.7005539206873,642.9655179768229,60,0.00023915877874294288,True
9,4_8C_80PER_4_8C,50,power,689.0922514479078,641.4686802843329,733.0182210658002,60,0.00021542740857259958,True
9,4_8C_80PER_4_8C,80,power,716.317340403038,628.3235740787549,935.7899252121028,60,0.00022645357872921098,True
10,5C_67PER_4C_NEWSTRUCTURE,1,exponential,14209.24085254116,11987.330256221016,17480.55680043775,60,0.0006598517215325733,True
10,5C_67PER_4C_NEWSTRUCTURE,20,exponential,10398.771603254076,9645.525133007412,11063.147930413588,60,0.0001734235106208259,True
10,5C_67PER_4C_NEWSTRUCTURE,50,exponential,9483.202952896876,8970.498418540426,10079.796001400593,60,0.00013270735914434396,True
10,5C_67PER_4C_NEWSTRUCTURE,80,exponential,9166.009261966627,8127.913305732638,10343.027181139072,60,0.00014042914819929089,True
10,5C_67PER_4C_NEWSTRUCTURE,1,linear,12747.93479288848,10496.63079186331,16157.931190888534,60,0.0006597448827429534,True
10,5C_67PER_4C_NEWSTRUCTURE,20,linear,9335.3512031928,8703.952414233296,9964.42456708589,60,0.00017328689426965906,True
10,5C_67PER_4C_NEWSTRUCTURE,50,linear,8516.810145850077,8120.456586278567,9045.824322434411,60,0.00013270027863670887,True
10,5C_67PER_4C_NEWSTRUCTURE,80,linear,8235.791824610284,7348.185106696593,9008.921655688182,60,0.00014042091287956885,True
10,5C_67PER_4C_NEWSTRUCTURE,1,power,891.9473811772956,623.2832008959081,2291.007559642402,60,0.0005485693008913396,True
10,5C_67PER_4C_NEWSTRUCTURE,20,power,2689.8416883708383,1743.0736529969267,4395.597460846977,60,0.00015148513703178265,True
10,5C_67PER_4C_NEWSTRUCTURE,50,power,8183.475225413679,2464.846274597832,98631.58309016422,60,0.0001326943309729868,True
10,5C_67PER_4C_NEWSTRUCTURE,80,power,4307.230751507898,1254.5564631363632,16615556.732077133,60,0.00014011275872530395,True
11,5_3C_54PER_4C_NEWSTRUCTURE,1,exponential,10686.358219323798,9597.338385003293,12402.559492397502,60,0.0005865826783330459,True
11,5_3C_54PER_4C_NEWSTRUCTURE,20,exponential,8836.378409099418,8534.74077413303,9200.562991369667,60,0.00013930085900651194,True
11,5_3C_54PER_4C_NEWSTRUCTURE,50,exponential,8734.149906140254,8231.251813003126,9282.991014745197,60,0.00011714560751780802,True
11,5_3C_54PER_4C_NEWSTRUCTURE,80,exponential,8769.197509903188,7926.905421759966,10014.75622597374,60,0.0001291275935164204,True
11,5_3C_54PER_4C_NEWSTRUCTURE,1,linear,9591.062005395637,8769.626240869165,11246.499893813741,60,0.0005864040681048703,True
11,5_3C_54PER_4C_NEWSTRUCTURE,20,linear,7934.889853939445,7684.182058873264,8275.508119955643,60,0.0001392390953552552,True
11,5_3C_54PER_4C_NEWSTRUCTURE,50,linear,7846.127878430599,7511.305003683824,8234.024273710042,60,0.00011716274327184426,True
11,5_3C_54PER_4C_NEWSTRUCTURE,80,linear,7880.403932087878,7061.509258423414,8685.609004355812,60,0.0001291151225682221,True
11,5_3C_54PER_4C_NEWSTRUCTURE,1,power,1458.4550298769798,1023.602634900959,2599.1113630704695,60,0.0004992908090515992,True
11,5_3C_54PER_4C_NEWSTRUCTURE,20,power,5336.06821257853,3390.2240953228143,9376.403132734224,60,0.0001366131277519496,True
