outer_target_battery,cutoff,ensemble,horizon_bin,expert,weight
3,50,horizon,11-20,gp,0.0
3,50,horizon,11-20,linear20,0.36179127217205026
3,50,horizon,11-20,linear30,0.37311933493125077
3,50,horizon,11-20,linear50,5.522951944602889e-19
3,50,horizon,11-20,same_policy,0.0
3,50,horizon,21-30,feature_ml,0.28841683195940226
3,50,horizon,21-30,gp,2.931505643366243e-17
3,50,horizon,21-30,linear20,0.3378600455202348
3,50,horizon,21-30,linear30,0.2957808600001846
3,50,horizon,21-30,linear50,0.0
3,50,horizon,21-30,same_policy,0.07794226252017837
3,50,horizon,31-40,feature_ml,0.4296039246802988
3,50,horizon,31-40,gp,2.442921369471869e-17
3,50,horizon,31-40,linear20,0.37690783027996505
3,50,horizon,31-40,linear30,0.19348824503973625
3,50,horizon,31-40,linear50,0.0
3,50,horizon,31-40,same_policy,1.3877787807814457e-17
3,50,horizon,41-50,feature_ml,0.4919093312564702
3,50,horizon,41-50,gp,0.0
3,50,horizon,41-50,linear20,0.36503167545853615
3,50,horizon,41-50,linear30,0.14305899328499377
3,50,horizon,41-50,linear50,0.0
3,50,horizon,41-50,same_policy,2.0816681711721685e-17
4,50,adaptive,1-10,feature_ml,0.1523836600550656
4,50,adaptive,1-10,gp,0.23930594650771755
4,50,adaptive,1-10,linear20,0.17661607435678942
4,50,adaptive,1-10,linear30,0.11449035671817866
4,50,adaptive,1-10,linear50,0.1642333437548795
4,50,adaptive,1-10,same_policy,0.15297061860736935
4,50,adaptive,11-20,feature_ml,0.1277306285603947
4,50,adaptive,11-20,gp,0.1447245987615522
4,50,adaptive,11-20,linear20,0.16551646794037142
4,50,adaptive,11-20,linear30,0.2989972290570975
4,50,adaptive,11-20,linear50,0.12179215135454842
4,50,adaptive,11-20,same_policy,0.14123892432603577
4,50,adaptive,21-30,feature_ml,0.2883161521338649
4,50,adaptive,21-30,gp,0.07702547038848104
4,50,adaptive,21-30,linear20,0.1605853432418873
4,50,adaptive,21-30,linear30,0.17191162199218332
4,50,adaptive,21-30,linear50,0.06121744001350604
4,50,adaptive,21-30,same_policy,0.24094397223007744
4,50,adaptive,31-40,feature_ml,0.24245234214151246
4,50,adaptive,31-40,gp,0.13366865284027668
4,50,adaptive,31-40,linear20,0.1281513078665858
4,50,adaptive,31-40,linear30,0.15653421486368185
4,50,adaptive,31-40,linear50,0.11716904485259996
4,50,adaptive,31-40,same_policy,0.22202443743534328
4,50,adaptive,41-50,feature_ml,0.2140211557693679
4,50,adaptive,41-50,gp,0.0774348351638014
4,50,adaptive,41-50,linear20,0.18911548882609233
4,50,adaptive,41-50,linear30,0.24497231121775176
4,50,adaptive,41-50,linear50,0.06190326230839806
4,50,adaptive,41-50,same_policy,0.21255294671458858
4,50,global,all,feature_ml,0.3424702933480805
4,50,global,all,gp,1.7589033860197451e-16
4,50,global,all,linear20,0.17055011125831207
4,50,global,all,linear30,0.09599959324259484
4,50,global,all,linear50,0.0
4,50,global,all,same_policy,0.39098000215101236
4,50,horizon,1-10,feature_ml,0.2215075884096146
4,50,horizon,1-10,gp,0.11508191369588425
4,50,horizon,1-10,linear20,0.22093132478441646
4,50,horizon,1-10,linear30,0.21495955722566978
4,50,horizon,1-10,linear50,0.0
4,50,horizon,1-10,same_policy,0.22751961588441477
4,50,horizon,11-20,feature_ml,0.2513048835947705
4,50,horizon,11-20,gp,2.7755575615628914e-17
4,50,horizon,11-20,linear20,0.24092712376868963
4,50,horizon,11-20,linear30,0.239362567166473
4,50,horizon,11-20,linear50,0.0
4,50,horizon,11-20,same_policy,0.26840542547006685
4,50,horizon,21-30,feature_ml,0.3863380320970659
4,50,horizon,21-30,gp,0.0
4,50,horizon,21-30,linear20,0.1555880188582462
4,50,horizon,21-30,linear30,0.0609942244106947
4,50,horizon,21-30,linear50,0.0
4,50,horizon,21-30,same_policy,0.39707972463399316
4,50,horizon,31-40,feature_ml,0.3721329802050855
4,50,horizon,31-40,gp,0.0
4,50,horizon,31-40,linear20,0.15895476470011052
4,50,horizon,31-40,linear30,0.07977049245825057
4,50,horizon,31-40,linear50,0.0
4,50,horizon,31-40,same_policy,0.38914176263655337
4,50,horizon,41-50,feature_ml,0.32140329751184804
4,50,horizon,41-50,gp,7.261469103699232e-18
4,50,horizon,41-50,linear20,0.1730024441737686
4,50,horizon,41-50,linear30,0.10208261267076334
4,50,horizon,41-50,linear50,0.0
4,50,horizon,41-50,same_policy,0.4035116456436199
6,50,adaptive,1-10,feature_ml,0.2114153965605654
6,50,adaptive,1-10,gp,0.10801990162998931
6,50,adaptive,1-10,linear20,0.33345541240531495
6,50,adaptive,1-10,linear30,0.16918606651684612
6,50,adaptive,1-10,linear50,0.03856504992929729
6,50,adaptive,1-10,same_policy,0.13935817295798691
6,50,adaptive,11-20,feature_ml,0.14547777972528866
6,50,adaptive,11-20,gp,0.1660094544011806
6,50,adaptive,11-20,linear20,0.2012588709547524
6,50,adaptive,11-20,linear30,0.1964693302182337
6,50,adaptive,11-20,linear50,0.1469128161589219
6,50,adaptive,11-20,same_policy,0.1438717485416229
6,50,adaptive,21-30,feature_ml,0.1818425072598973
6,50,adaptive,21-30,gp,0.17524716988279818
6,50,adaptive,21-30,linear20,0.19709376209754628
6,50,adaptive,21-30,linear30,0.20186869897848336
6,50,adaptive,21-30,linear50,0.18581714476533764
6,50,adaptive,21-30,same_policy,0.058130717015937305
6,50,adaptive,31-40,feature_ml,0.2846450793009188
6,50,adaptive,31-40,gp,0.1994047379053036
6,50,adaptive,31-40,linear20,0.18468844422921488
6,50,adaptive,31-40,linear30,0.11657899195405332
6,50,adaptive,31-40,linear50,0.20494425055754079
6,50,adaptive,31-40,same_policy,0.009738496052968521
6,50,adaptive,41-50,feature_ml,0.19941368797569847
6,50,adaptive,41-50,gp,0.16002944042323317
6,50,adaptive,41-50,linear20,0.2010508738804418
6,50,adaptive,41-50,linear30,0.09554627091145519
