variable,spearman_rho,p_value
E_L,-0.1669769641436697,0.34523824801306446
E_H,0.1669769641436697,0.34523824801306446
C_high,0.1669769641436697,0.34523824801306446
C1,0.274017334105533,0.1168335491517887
Q1,-0.5889280634787903,0.000248168394257775
C2,0.24985717481545144,0.15411983808840313
