held_out_policy,n_test,observed_mean,predicted_mean,mae,rmse,mean_residual
5_6C_19PER_4_6C,7,0.0043919763561917225,0.003044170805070745,0.0014522844499589213,0.0016237528992742076,0.0013478055511209777
5_6C_36PER_4_3C,7,0.003716349722194558,0.004587706698790883,0.001529294463267304,0.001885859239349276,-0.0008713569765963254
4_8C_80PER_4_8C,5,0.0018877145475090008,0.003100262726412145,0.0013495162967707198,0.001541495290585354,-0.0012125481789031444
5C_67PER_4C,6,0.002685518676387962,0.0031921142435729355,0.0007180968103159638,0.0008665412330793118,-0.0005065955671849735
5_3C_54PER_4C,7,0.0025631969152162893,0.0020806113909763446,0.0013911847902676783,0.0016398394888201759,0.00048258552423994475
3_7C_31PER_5_9C,2,0.03375122298127947,0.031084495701038134,0.005638911040950545,0.006237688042451091,0.0026667272802413378
