check,n,beta_L,beta_H,p_beta_H,adj_r_squared
q_star=40,34,0.0009486967733481635,0.0012330629501296209,0.0002627758565146083,0.9857047853747266
q_star=50,34,0.0010170244725916937,0.00135618754807407,2.2831895578053197e-05,0.9964418234597271
q_star=60,34,0.0010534555879252228,0.0014989263201817021,7.73069027787628e-05,0.9901650091387592
drop_3_7C_policy_wls,32,0.0009326101019653961,0.0012411885337808906,0.05889823246651582,0.15311513644612873
drop_SOH1_lt_0.98,33,0.001031151146983066,0.0013661940628340314,3.378111111924492e-05,0.9955714491272749
