p,q,beta_L,beta_H,p_beta_H,adj_r_squared,aic
1.0,1.0,0.0010170244725916937,0.00135618754807407,2.2831895578053197e-05,0.9964418234597271,-84.51129164379975
1.0,1.5,-7.920367129691521e-05,0.00014213060673449486,0.016610760688596498,0.7278290497672021,-58.48819870463544
1.0,2.0,-1.2623830320518807e-05,3.4753132310539516e-05,0.07156596102360963,0.49169321375347297,-54.74026982751882
1.5,1.0,-5.062841337462978e-05,-1.8409666024771578e-06,0.9576372833599203,0.06688278243808699,-51.09559591049002
1.5,1.5,0.00023758201785485688,0.00034164270576895496,2.0744117019864566e-05,0.996352543672802,-84.36260071096709
1.5,2.0,-4.162893881231202e-05,6.55223042938269e-05,0.0010991239004394238,0.9465792552571878,-68.25758598576626
2.0,1.0,-1.5996757045413507e-05,-2.5103670967831673e-06,0.8260105176875573,0.09340324230950492,-51.268594305948675
2.0,1.5,-2.223663209599002e-05,-2.23957815987454e-06,0.8759196338952301,0.15406814076548558,-51.68414800857939
2.0,2.0,6.500913477301122e-05,0.0001007086445018563,1.9627795103594557e-05,0.9962076337703529,-84.12883992324767
