cutoff,model,policy,n_batteries,RMSE,MAE
50,Same-policy mean delta,3_6C-80PER_3_6C,2,0.0004825939473891292,0.00029343555214033534
50,Same-policy mean delta,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0013501882329118927,0.001113363866555641
50,Same-policy mean delta,4_8C_80PER_4_8C,2,0.0012221659419943277,0.001079282585448491
50,Same-policy mean delta,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0008460304925339197,0.0003707763387299914
50,Same-policy mean delta,5C_67PER_4C_NEWSTRUCTURE,6,0.00026184527176781634,0.00020755596068060213
50,Same-policy mean delta,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00031258878579681795,0.00023486240766234273
50,Same-policy mean delta,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00028557868382134935,0.0001887691650093475
50,Same-policy mean delta,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00033078560938833726,0.00024168533220203164
50,Same-policy mean delta,80PER_3_6C,2,0.004296805062458591,0.003717979458005376
75,Persistence,3_6C-80PER_3_6C,2,0.000646999928095675,0.000538802944858392
75,Persistence,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.00561190401942021,0.0047862193955396475
75,Persistence,4_8C_80PER_4_8C,2,0.002143682485887447,0.0017584390614966638
75,Persistence,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0005867151375084789,0.00045704322981418154
75,Persistence,5C_67PER_4C_NEWSTRUCTURE,6,0.0007875992089335526,0.000667430565086878
75,Persistence,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0007251248062767025,0.0005890293370845377
75,Persistence,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.000933574337848053,0.0007884464647447254
75,Persistence,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0007502345792886106,0.0006083103464965139
75,Persistence,80PER_3_6C,2,0.003451925414838088,0.0022927411486071856
75,Linear-10,3_6C-80PER_3_6C,2,0.0015892526565123664,0.0012998631400632798
75,Linear-10,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0004485406906901258,0.000361431514690459
75,Linear-10,4_8C_80PER_4_8C,2,0.000605913504158228,0.00042901826211905967
75,Linear-10,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0006060518700241036,0.0004657614529761021
75,Linear-10,5C_67PER_4C_NEWSTRUCTURE,6,0.0003598456071392014,0.00029052632676856906
75,Linear-10,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00041418806558610004,0.00031555939436125684
75,Linear-10,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0008662062054710226,0.0007127714156979272
75,Linear-10,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0007891285165051354,0.0005237927215383072
75,Linear-10,80PER_3_6C,2,0.0016619341069871848,0.0013672524356802562
75,Linear-20,3_6C-80PER_3_6C,2,0.00032596726644443436,0.00023449590259041586
75,Linear-20,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0005768374824510096,0.0004562249991883327
75,Linear-20,4_8C_80PER_4_8C,2,0.001117201684756466,0.0009331388734923374
75,Linear-20,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.000338455499164647,0.00022306084634810385
75,Linear-20,5C_67PER_4C_NEWSTRUCTURE,6,0.0003179400178099374,0.00023794741674244965
75,Linear-20,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0001557709644611834,0.00010966039024473017
75,Linear-20,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00033690972066477144,0.00023396413560947905
75,Linear-20,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0003817219422856622,0.0002826390630952564
75,Linear-20,80PER_3_6C,2,0.002840281321208228,0.0018611956327413714
75,Linear-30,3_6C-80PER_3_6C,2,0.0005299585722024085,0.00043944615006207276
75,Linear-30,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0007035238084703818,0.0004916608402622635
75,Linear-30,4_8C_80PER_4_8C,2,0.0009574574271703668,0.0007817433769860716
75,Linear-30,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0007336353382929639,0.0004593166441984002
75,Linear-30,5C_67PER_4C_NEWSTRUCTURE,6,0.0003210316178541303,0.00023042423863426254
75,Linear-30,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0003232687950743127,0.0002214472177808153
75,Linear-30,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0003347037090215978,0.0002673972129131706
75,Linear-30,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002870534536093716,0.00023106285238291819
75,Linear-30,80PER_3_6C,2,0.0011548935259658257,0.0006711339109219039
75,Linear-50,3_6C-80PER_3_6C,2,0.0006412410888404246,0.0005322507816948164
75,Linear-50,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0008291706658673334,0.0005614225863305767
75,Linear-50,4_8C_80PER_4_8C,2,0.001403185496056855,0.0012007152179157154
75,Linear-50,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0005167995709251043,0.0004010137524674646
75,Linear-50,5C_67PER_4C_NEWSTRUCTURE,6,0.0005943014402699327,0.0004901318107189397
75,Linear-50,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00045245681998079356,0.00037662541441526204
75,Linear-50,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0004529412838576579,0.0003560217957795502
75,Linear-50,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00038364103813807527,0.00028824105152593294
75,Linear-50,80PER_3_6C,2,0.001046508146135752,0.000610564478168818
75,Linear-Nested,3_6C-80PER_3_6C,2,0.0005299585722024085,0.00043944615006207276
75,Linear-Nested,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0007035238084703818,0.0004916608402622635
75,Linear-Nested,4_8C_80PER_4_8C,2,0.0009574574271703668,0.0007817433769860716
