ablation,cutoff,policy,n_batteries,MAE,RMSE
B_SOH_plus_dynamics,50,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00021371293305527734,0.0002844403758613307
B_SOH_plus_dynamics,50,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002646690040419416,0.0004387865234431033
B_SOH_plus_dynamics,50,80PER_3_6C,2,0.0007257884463316566,0.0012522377389579517
B_SOH_plus_dynamics,75,3_6C-80PER_3_6C,2,0.00016696405240969602,0.00024863284826892243
B_SOH_plus_dynamics,75,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0010005265731934465,0.001364566193709572
B_SOH_plus_dynamics,75,4_8C_80PER_4_8C,2,0.0005371923781354604,0.000631172761726442
B_SOH_plus_dynamics,75,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00033776324193569927,0.0003970830443750313
B_SOH_plus_dynamics,75,5C_67PER_4C_NEWSTRUCTURE,6,0.00016181214555046583,0.00021414761604410162
B_SOH_plus_dynamics,75,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00016476240006476405,0.00021683340996730846
B_SOH_plus_dynamics,75,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00022912283988983642,0.0002942976037634101
B_SOH_plus_dynamics,75,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00023696349841178916,0.0003344604820108712
B_SOH_plus_dynamics,75,80PER_3_6C,2,0.0009299460407079774,0.0014653384805012163
B_SOH_plus_dynamics,100,3_6C-80PER_3_6C,2,0.0004949846049480788,0.0007591962718323912
B_SOH_plus_dynamics,100,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0009810817786470238,0.0013403712989414475
B_SOH_plus_dynamics,100,4_8C_80PER_4_8C,2,0.00022994513861394284,0.0003020367809040677
B_SOH_plus_dynamics,100,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0006963652361484045,0.0009073749537917867
B_SOH_plus_dynamics,100,5C_67PER_4C_NEWSTRUCTURE,6,0.0001675485608345902,0.0002056920549519256
B_SOH_plus_dynamics,100,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00013203473615688998,0.000189005054911995
B_SOH_plus_dynamics,100,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00017576492478466868,0.00025041671450171257
B_SOH_plus_dynamics,100,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002899258683156223,0.0003854304813754848
B_SOH_plus_dynamics,100,80PER_3_6C,2,0.0014426958089684217,0.002107987970657211
B_SOH_plus_dynamics,125,3_6C-80PER_3_6C,2,0.0008950403206381863,0.0015565683150572014
B_SOH_plus_dynamics,125,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0009479644198625036,0.0013267638067587435
B_SOH_plus_dynamics,125,4_8C_80PER_4_8C,2,0.0006094642611394241,0.0007980548010612503
B_SOH_plus_dynamics,125,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00017155483755297628,0.00026008924152319405
B_SOH_plus_dynamics,125,5C_67PER_4C_NEWSTRUCTURE,6,0.0001286451560293526,0.00016657371950650542
B_SOH_plus_dynamics,125,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00015177203523037436,0.00021754822593383989
B_SOH_plus_dynamics,125,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.000171491676378198,0.00021750516466435696
B_SOH_plus_dynamics,125,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00017584861131301357,0.0002378927678413219
B_SOH_plus_dynamics,125,80PER_3_6C,2,0.0007831089283572534,0.0011060127556241689
B_SOH_plus_dynamics,150,3_6C-80PER_3_6C,2,0.0012177748749945684,0.001883859969239788
B_SOH_plus_dynamics,150,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.000900020441859809,0.0012219457062516395
B_SOH_plus_dynamics,150,4_8C_80PER_4_8C,2,0.0004416288308672933,0.0005394508412360433
B_SOH_plus_dynamics,150,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00018887854842025974,0.0003007485641658997
B_SOH_plus_dynamics,150,5C_67PER_4C_NEWSTRUCTURE,6,0.0001641966646682728,0.0002088231165400914
B_SOH_plus_dynamics,150,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00014325682553710075,0.00018148448397028983
B_SOH_plus_dynamics,150,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00015012521920219798,0.00018809146348832393
B_SOH_plus_dynamics,150,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0001450534679896173,0.0001895123725728632
B_SOH_plus_dynamics,150,80PER_3_6C,2,0.0005713410386617545,0.000776276761295604
C_plus_policy,50,3_6C-80PER_3_6C,2,0.00030036514648053124,0.0003953268083894704
C_plus_policy,50,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0006157051682426983,0.0009166522067243557
C_plus_policy,50,4_8C_80PER_4_8C,2,0.0006709273636129598,0.0008735181627987465
C_plus_policy,50,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0003834613859392926,0.0007989685104137747
C_plus_policy,50,5C_67PER_4C_NEWSTRUCTURE,6,0.00020036630762349184,0.0002485296867017805
C_plus_policy,50,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00014159548345297392,0.0001884890199979519
C_plus_policy,50,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0001999360419418699,0.00027476792168555425
C_plus_policy,50,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002764844062445688,0.00046177081212844665
C_plus_policy,50,80PER_3_6C,2,0.0006941797990537968,0.0012097804448222393
C_plus_policy,75,3_6C-80PER_3_6C,2,0.00013251750123936313,0.00022226307747166385
C_plus_policy,75,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.00099063837344624,0.0013400623191410983
C_plus_policy,75,4_8C_80PER_4_8C,2,0.0005352986167733476,0.0006038475481582816
