outer_battery_id,ablation,selected_config,feature,baseline_outer_RMSE,RMSE_increase_mean,RMSE_increase_std
1,C_plus_policy,extra_trees,cutoff,0.0015089409441685,1.7074011691414932e-05,0.0
1,C_plus_policy,extra_trees,forecast_horizon,0.0015089409441685,3.271308335241782e-05,0.0
1,C_plus_policy,extra_trees,SOH_raw_last,0.0015089409441685,0.0,0.0
1,C_plus_policy,extra_trees,SOH_last,0.0015089409441685,0.0,0.0
1,C_plus_policy,extra_trees,SOH_variance,0.0015089409441685,5.812991603475334e-06,0.0
1,C_plus_policy,extra_trees,SOH_slope_10,0.0015089409441685,3.531589276135026e-07,0.0
1,C_plus_policy,extra_trees,SOH_delta_10,0.0015089409441685,1.1805584030353308e-06,0.0
1,C_plus_policy,extra_trees,SOH_linear_rmse_10,0.0015089409441685,-3.56419992779888e-06,0.0
1,C_plus_policy,extra_trees,SOH_slope_20,0.0015089409441685,1.4918535261852254e-07,0.0
1,C_plus_policy,extra_trees,SOH_delta_20,0.0015089409441685,-4.745210983034872e-06,0.0
1,C_plus_policy,extra_trees,SOH_linear_rmse_20,0.0015089409441685,-2.7339582648632822e-06,0.0
1,C_plus_policy,extra_trees,SOH_slope_30,0.0015089409441685,1.0736906374095474e-06,0.0
1,C_plus_policy,extra_trees,SOH_delta_30,0.0015089409441685,-1.865481348533064e-06,0.0
1,C_plus_policy,extra_trees,SOH_linear_rmse_30,0.0015089409441685,1.4274725227911029e-06,0.0
1,C_plus_policy,extra_trees,SOH_slope_50,0.0015089409441685,1.0623847633403755e-05,0.0
1,C_plus_policy,extra_trees,SOH_delta_50,0.0015089409441685,-1.9813752098866728e-06,0.0
1,C_plus_policy,extra_trees,SOH_linear_rmse_50,0.0015089409441685,-1.7654065276469751e-06,0.0
1,C_plus_policy,extra_trees,SOH_quadratic_curvature,0.0015089409441685,1.7651868937272e-06,0.0
1,C_plus_policy,extra_trees,SOH_first_derivative,0.0015089409441685,-6.469222209783826e-07,0.0
1,C_plus_policy,extra_trees,SOH_second_derivative,0.0015089409441685,1.89418126176049e-06,0.0
1,C_plus_policy,extra_trees,horizon_fraction,0.0015089409441685,2.3387575786410235e-05,0.0
1,C_plus_policy,extra_trees,SOH_linear_delta_10,0.0015089409441685,2.876114159431221e-07,0.0
1,C_plus_policy,extra_trees,SOH_linear_delta_20,0.0015089409441685,-2.789858947180963e-06,0.0
1,C_plus_policy,extra_trees,SOH_linear_delta_30,0.0015089409441685,7.510203913970804e-05,0.0
1,C_plus_policy,extra_trees,SOH_linear_delta_50,0.0015089409441685,4.845580019779408e-05,0.0
1,C_plus_policy,extra_trees,SOH_quadratic_delta,0.0015089409441685,3.505697491951784e-07,0.0
1,C_plus_policy,extra_trees,IR_last,0.0015089409441685,-2.1479255535414475e-07,0.0
1,C_plus_policy,extra_trees,IR_mean,0.0015089409441685,0.0,0.0
1,C_plus_policy,extra_trees,IR_slope,0.0015089409441685,1.3303318936730424e-07,0.0
1,C_plus_policy,extra_trees,IR_delta,0.0015089409441685,2.8017850101508257e-06,0.0
1,C_plus_policy,extra_trees,IR_std,0.0015089409441685,-1.5246879070006036e-07,0.0
1,C_plus_policy,extra_trees,Tavg_last,0.0015089409441685,6.151053101813991e-07,0.0
1,C_plus_policy,extra_trees,Tavg_mean,0.0015089409441685,0.0,0.0
1,C_plus_policy,extra_trees,Tavg_slope,0.0015089409441685,-1.331078110153577e-07,0.0
1,C_plus_policy,extra_trees,Tavg_delta,0.0015089409441685,-1.2710338452960948e-08,0.0
1,C_plus_policy,extra_trees,Tavg_std,0.0015089409441685,5.912065452805346e-07,0.0
1,C_plus_policy,extra_trees,chargetime_last,0.0015089409441685,-5.099615493341786e-10,0.0
