battery_id,fusion_pbt_batterygpt,linear_recent
1,0.0014871085483911149,0.0014885281275504425
3,0.0002688343192452522,3.54301399828224e-05
4,0.0003625769916834581,0.00029947842434777046
6,0.0003438928970953162,0.00036630330102213236
7,0.0009145201843517818,0.0011062834353943373
8,0.000846537323136391,0.0010256552690173222
12,0.00021211298274960623,0.0003962955127122207
13,9.779832891683726e-05,0.0002635745215409281
15,0.00016281244622508807,0.0003552613231980271
17,0.00019793527422843024,7.51942967263675e-05
18,9.89695559293484e-05,0.00013194607501823273
19,0.00011061862369682557,9.130190341330086e-05
20,0.0004173088869512233,0.0003464785516981344
21,8.488983849118246e-05,0.00014738480781101065
22,0.00011009002798507672,0.00012136561387866405
23,5.676305094706053e-05,0.0002512502524757772
26,0.00017980539404972387,6.405007742899774e-05
27,0.0001636598200601974,0.0003749273125813772
28,6.0263994167609566e-05,0.0001898015833654078
29,0.00011781645444277653,0.000245288615327831
30,0.0001096959629698684,0.00010332851176455198
31,0.00012085247532760294,0.000284533148673033
32,0.0002486220546558057,9.6673365951348e-05
33,8.845107551940266e-05,0.00020343484184049204
34,0.00022422486324143485,0.00010425576155724389
35,0.0001555536322861215,0.00018707525203703554
36,7.231093207804431e-05,0.00022432193055128236
37,0.00011807220335972984,9.361232072960281e-05
38,0.0001333197053377443,0.00011287721945916839
39,0.00013430912934250596,0.00013959475402277455
40,3.688407464405841e-05,0.0002216548009479729
41,0.00018714046294768347,0.0001486970365750212
42,5.3716710778486705e-05,0.00013727641714535806
43,0.00027356586304175164,5.1233754122958086e-05
44,7.80602767180998e-05,0.00027482053951994326
45,6.973565714050284e-05,0.0002628157865555814
46,6.796773960560993e-05,8.671107421818114e-05
47,0.00019248064558910293,0.00034151735426526405
48,6.229600693325773e-05,0.00014556847427742197
49,8.854208895697306e-05,0.0002393445870119277
