battery_id,policy,cutoff,fit_start,model,EOL_threshold,EOL_cycle,EOL_lower_90,EOL_upper_90,bootstrap_valid,bootstrap_repetitions,fit_RMSE,derivative_max,monotonic_constraint_satisfied,params_json
1,3_6C-80PER_3_6C,150,1,linear,0.8,23976.090179435727,12316.862391951105,3741756.299611601,40,40,0.0012304324178930251,-8.565396465889788e-06,True,"[1.0053647180887937, 8.565396465889788e-06]"
1,3_6C-80PER_3_6C,150,1,power,0.8,698.55028666852,644.8427258041996,55932.72483154625,40,40,0.0011275195314098257,-1.8061214322097525e-09,True,"[1.0052195427842514, 6.020404775075481e-10, 2.9999999994802815]"
1,3_6C-80PER_3_6C,150,1,exponential,0.8,26821.74991297497,13506.06799317581,155424.12948922208,40,40,0.001230433075819539,-8.553727615657103e-06,True,"[1.005364364007775, 8.518966104460187e-06]"
1,3_6C-80PER_3_6C,150,20,linear,0.8,11237.036639079713,10078.719579380115,13584.037642143434,40,40,0.0006254893165318665,-1.8364926145765238e-05,True,"[1.006367347973957, 1.8364926145765238e-05]"
1,3_6C-80PER_3_6C,150,20,power,0.8,639.4453588934571,627.1982490552596,878.0962287946169,40,40,0.0005411937039455409,-9.43457355063604e-07,True,"[1.0055660293527677, 7.86214462553009e-10, 2.999999999999998]"
1,3_6C-80PER_3_6C,150,20,exponential,0.8,12559.715252078491,10713.743397498813,14846.62948741568,40,40,0.0006256114660408447,-1.8338036035853364e-05,True,"[1.0063679002539536, 1.8272011550379577e-05]"
1,3_6C-80PER_3_6C,150,50,linear,0.8,8193.95256200108,7198.638553008197,10117.030382689742,40,40,0.000602652730120315,-2.527855314771143e-05,True,"[1.0071312653283706, 2.527855314771143e-05]"
1,3_6C-80PER_3_6C,150,50,power,0.8,660.8584922895974,622.3366171253687,1410.0955410226763,40,40,0.0005660234042136201,-6.497110492444075e-06,True,"[1.0056331305461512, 1.2545937127133808e-09, 2.9128631230436848]"
1,3_6C-80PER_3_6C,150,50,exponential,0.8,9153.341644528633,8165.2346637273195,10726.330728677734,40,40,0.0006027526457999771,-2.523895506263648e-05,True,"[1.0071334128079343, 2.5154927088612913e-05]"
1,3_6C-80PER_3_6C,150,80,linear,0.8,6586.516029042405,5819.339998850175,7710.10084801123,40,40,0.0006279232596591261,-3.156322718443306e-05,True,"[1.0078917017785753, 3.156322718443306e-05]"
1,3_6C-80PER_3_6C,150,80,power,0.8,637.1897245460967,620.7069003075283,1888.500553608714,40,40,0.0006087435052146465,-1.5257356919809771e-05,True,"[1.0055816598571172, 7.946540062416664e-10, 2.99999999999958]"
1,3_6C-80PER_3_6C,150,80,exponential,0.8,7351.221849238463,6182.794785324043,9401.584408397806,40,40,0.0006279808039092952,-3.1523950401156256e-05,True,"[1.0078975430907025, 3.1424717791916036e-05]"
3,3_6C-80PER_3_6C,150,1,linear,0.8,22567.818876251473,16597.23323349706,43009.43012660037,40,40,0.0009678902810586621,-8.773566843304163e-06,True,"[0.9980002674183738, 8.773566843304163e-06]"
3,3_6C-80PER_3_6C,150,1,power,0.8,737.3699045224487,679.17969649545,12788.388025325312,40,40,0.0008894020830598714,-1.4797162278302094e-09,True,"[0.9977485946145023, 4.932387426384552e-10, 2.9999999998273528]"
3,3_6C-80PER_3_6C,150,1,exponential,0.8,25148.33008384516,15401.012328585393,50154.486584483915,40,40,0.0009678998802354036,-8.764340328072284e-06,True,"[0.9980001424636538, 8.793494067215857e-06]"
3,3_6C-80PER_3_6C,150,20,linear,0.8,13437.650763472071,11569.705895698724,15360.212644014273,40,40,0.00022017716825611873,-1.4780868065356707e-05,True,"[0.9986201430432206, 1.4780868065356707e-05]"
3,3_6C-80PER_3_6C,150,20,power,0.8,1052.4338167409899,762.1046172988662,1528.472385408238,40,40,0.00014512058172966058,-2.0117955217622984e-06,True,"[0.9980469479111549, 1.439658859476242e-08, 2.3620279450696926]"
3,3_6C-80PER_3_6C,150,20,exponential,0.8,14965.941854358794,13496.77973887612,17542.38253474908,40,40,0.00022028564197420358,-1.4764564879892553e-05,True,"[0.9986206019531264, 1.48178579858292e-05]"
3,3_6C-80PER_3_6C,150,50,linear,0.8,10214.718943717011,9477.361234115837,11054.787913755628,40,40,0.00012589765804222968,-1.9495911081718223e-05,True,"[0.9991452522514496, 1.9495911081718223e-05]"
3,3_6C-80PER_3_6C,150,50,power,0.8,3331.9179881315313,1724.945243397078,8015.878007073646,40,40,0.00012154413915183474,-1.470241803188626e-05,True,"[0.9986160636397391, 2.0376237359732154e-06, 1.4162143944548582]"
