battery_id,power_weight,linear_weight
1,0.6320942573973992,0.3679057426026008
3,0.6687516288194143,0.3312483711805857
4,0.7207590427733697,0.27924095722663034
6,0.658643045300931,0.341356954699069
7,0.5597142925974559,0.44028570740254414
8,0.6498684171479222,0.3501315828520778
12,0.6814442813933163,0.31855571860668375
13,0.6696328540105708,0.3303671459894292
15,0.6651082809042983,0.3348917190957017
17,0.669552125811174,0.33044787418882604
18,0.6671188046324797,0.33288119536752026
19,0.669518065976472,0.330481934023528
20,0.6638399616284777,0.3361600383715223
21,0.6665408412811359,0.3334591587188641
22,0.6720732769279371,0.32792672307206294
23,0.6627426870531489,0.33725731294685113
26,0.6830964719397637,0.31690352806023625
27,0.6753523335176,0.32464766648239995
28,0.672004166773915,0.32799583322608505
29,0.6647318131711956,0.33526818682880444
30,0.668998462245141,0.33100153775485897
31,0.6742457940476667,0.3257542059523333
32,0.7032412175318195,0.29675878246818055
33,0.668876114273829,0.331123885726171
34,0.6778514939880081,0.32214850601199185
35,0.7104782453407054,0.28952175465929464
36,0.6627822259083241,0.33721777409167586
37,0.6674966537995881,0.3325033462004119
38,0.6685305166165765,0.3314694833834235
39,0.6686753748203924,0.3313246251796076
40,0.6666103790404974,0.33338962095950264
41,0.67129296526288,0.32870703473712004
42,0.6675787608494436,0.33242123915055644
43,0.6681478375593136,0.3318521624406864
44,0.6631336552495727,0.3368663447504273
45,0.6644305398219977,0.33556946017800227
46,0.6690820536720826,0.3309179463279174
47,0.6613240668100306,0.33867593318996936
48,0.6678770802419278,0.3321229197580722
49,0.672784802228149,0.32721519777185104
