model,LOOCV_MAE,LOOCV_RMSE,LOOCV_R2
Ridge,0.002152503887444599,0.003276875258542989,0.808148969929734
OLS,0.002157531271096268,0.0032799673277323117,0.8077867367089422
PLS_2components,0.003152932259757423,0.004276294327198363,0.6732771605690437
PLS_1component,0.002934241426954181,0.00460221168798033,0.6215770222790207
