term,coefficient,std_error_hc3,p_value_hc3
Intercept,0.11328441022629303,0.02980138360872123,0.00014393089066258666
C1,-0.016923603100032495,0.004525537859655367,0.0001843292380133551
Q1,-0.0002807976070648806,6.484767477950098e-05,1.4903443732179762e-05
C2,-0.001554110998601031,0.001017137669082305,0.1265309343416957
