window_end,use_policy,fold,battery_id,method,rmse,mae,r2
50,False,1,1,linear_tail,0.02011569044611086,0.018633366759831526,-3663.139740149348
50,False,2,3,linear_tail,0.0022510457369506794,0.0020485316841889166,-74.4968777049545
50,False,4,4,linear_tail,0.0009589142455663969,0.0009264485619409069,0.7533756223727897
50,False,1,6,linear_tail,0.0020009875729034114,0.001851875652599877,-26.568325680559827
50,False,3,7,linear_tail,0.003097783886315072,0.002825866439875413,-49.5323252080042
50,False,3,8,linear_tail,0.0034325928109559495,0.003108445023971349,-11.229956792599612
50,False,1,12,linear_tail,0.0014978211223261588,0.0013990392002143203,-10.938416604402375
50,False,1,13,linear_tail,0.001661631238078565,0.0015414075052558695,-18.759730191995942
50,False,4,15,linear_tail,0.0015357054976190244,0.0014087885922319842,-11.465776740886346
50,False,2,17,linear_tail,0.0013285987508544442,0.001211711656752219,-29.406286782879125
50,False,5,18,linear_tail,0.002125696031496546,0.0019286511254870931,-27.210832364449544
50,False,4,19,linear_tail,0.00167896940213978,0.0015504467576621117,-62.72942706079815
50,False,1,20,linear_tail,0.0017627937091363533,0.0016028648804091849,-28.397819723180845
50,False,5,21,linear_tail,0.001630717277621724,0.0014740998776982428,-8.756360930972141
50,False,1,22,linear_tail,0.0014625271756388012,0.001351724917919408,-27.283192968014887
50,False,3,23,linear_tail,0.0022475880103673897,0.0020534327132957354,-18.604604861374305
50,False,3,26,linear_tail,0.0006019050509694485,0.0005048179869141034,-4.239960983760271
50,False,4,27,linear_tail,0.001251412645462026,0.001149661138475888,-3.839250998143582
50,False,5,28,linear_tail,0.0011925933934860344,0.0010993943401008588,-3.7027290010247134
50,False,4,29,linear_tail,0.0016508403816930268,0.0015071186600834974,-21.254594086262014
50,False,2,30,linear_tail,0.001278390457258483,0.0011897013675168377,0.6850265504998382
50,False,5,31,linear_tail,0.0020848147399650852,0.001887448522572206,-80.32507647072423
50,False,5,32,linear_tail,0.002078569313802288,0.001903652403162881,-89.72142813444006
50,False,3,33,linear_tail,0.0018194066565242215,0.0016699274221538074,-44.316936391664726
50,False,3,34,linear_tail,0.0020221051538347797,0.0018373063879667173,-26.260632914438077
50,False,3,35,linear_tail,0.0018673869707217718,0.0016777394354167941,0.6184225997888607
50,False,5,36,linear_tail,0.0017088616368119425,0.0015680239142132101,-33.32204629229454
50,False,3,37,linear_tail,0.0015807543560977077,0.0014351727681672344,-12.363396743137033
50,False,2,38,linear_tail,0.0015732706621891196,0.0014372730441257885,-8.018971662985367
50,False,5,39,linear_tail,0.001302233886389533,0.0012048117203792175,-8.175713705818566
50,False,2,40,linear_tail,0.0017290468572206269,0.0015888618891023954,-9.012143781578402
50,False,2,41,linear_tail,0.002762708972706026,0.0024790916765678396,-22.427127303035654
50,False,2,42,linear_tail,0.0011468378281446641,0.001054904582575158,-16.25253577072632
50,False,4,43,linear_tail,0.0024948984594847334,0.0022816337556211463,-26.757332663870006
50,False,4,44,linear_tail,0.0023594570554342476,0.002166046613005217,-27.002692486675798
50,False,2,45,linear_tail,0.002040878436645103,0.0018635483089784399,-120.06971654621907
